#Mass 	Prot 	Bsq 	Pol_frac 	Axi_frac 	Dip_frac    Name 	
0.80	4.35	39539	0.32    	0.17	    0.03	"GJ 182   "
0.58 	2.85	27800	0.38    	0.12	    0.02	"DT Vir   "
0.57	14.0	10501	0.20    	0.16	    0.01	"DS Leo   "
0.57	18.6	875	    0.48    	0.67	    0.22	"GJ 49    "
0.55	3.40	23806	0.67    	0.66	    0.16	"OT Ser   "
0.48	14.7	14815	0.95    	0.96	    0.76	"CE Boo   "
0.417	2.24	61120	0.94    	0.88	    0.57	"AD Leo   "
0.390	1.06	272837	0.85    	0.70	    0.57	"EQ Peg A "
0.323	4.38	323535	0.98    	0.31	    0.24	"EV Lac   "
0.306	2.78	475287	0.97    	0.86	    0.65	"YZ CMi   "
0.284	0.45	654571	0.96    	0.76	    0.61	"V374 Peg "
0.099	0.78	3754201	0.96    	0.95	    0.88	"WX UMa   "
0.096	0.46	16600	0.93    	0.77	    0.65	"DX Cnc   "
0.250	0.40	240730	0.94    	0.91	    0.77	"EQ Peg B "
0.210	1.02	3260000	0.97    	0.89	    0.83	"GJ 51    "
0.14	0.49	05500	0.88    	0.03	    0.02	"GJ 1156  "
0.118	0.71	44118 	0.80    	0.15	    0.03	"GJ 1245 B"
0.092	1.50	4200	0.96    	0.72	    0.67	"GJ 3622  "
