#Star             Age  Age_err  Prot Proterr    Teff Teff_err logg logg_err vsini vsini_err  Vmic Vmic_err Vr Vr_err     i  i_plu i_min  L L_err      R  R_err     M   M_plu M_min      tau tau_plu tau_min     Rossby ros_plu ros_min   Bfield  B_max   pol     tor     dip     quad     oct    axisym     axisympol  axisymtor  axisymdip  torl1 torl2 torl3 
#                 (Myr)         (days)           (K)                         (km/s)           (km/s)        (km/s)        (deg.)          (L_sun)      (R_sun)      (M_sun)              (days)                  number                  (G)      (G)    (%tot)  (%tot)  (%pol)  (%pol)  (%pol)  (%tot)      (%pol)    (%tor)     (%dip)      (%tor)(%tor)(%tor)
#  1              2    3        4         5      6     7        8     9      10     11        12   13       14     15     16  17   18     19    20     21    22     23    24     25      26     27      28       29     30      31       32       33       34      35      36      37      38      39          40       41         42          43    44    45   
"HIP 12545"        24   3       4.83      0.01   4447  130      4.33  0.23   10.22  0.41      1.42  0.32     7.67  0.20   39  +20  -20    0.40  0.06   1.07  0.07   0.75  +0.05  -0.05   35.77   +8.33   -6.01   0.135  +0.028  -0.026   115.7    418.4    57.0    43.0    57.0    16.4    11.6    59.6        39.6     86.0       64.6        59.6  27.3   8.5 
"TYC 6349-0200-1"  24   3       3.41      0.05   4359  131      4.19  0.31   15.84  0.51      1.36  0.34    -7.18  0.23   52  +20  -20    0.30  0.02   0.96  0.07   0.85  +0.05  -0.05   50.51  +14.40   -6.64   0.068  +0.013  -0.015    59.8    184.6    77.9    22.1    68.2     8.5     6.3    30.2        22.6     57.1       28.9        48.2   4.0  12.7 
"TYC 6878-0195-1"  24   3       5.70      0.06   4667  120      4.38  0.29   11.24  0.38      1.37  0.31    -8.79  0.22   68  +22  -20    0.80  0.32   1.37  0.28   1.17  +0.13  -0.21   59.89  +23.47  -17.79   0.094  +0.040  -0.024    55.3    198.2    69.0    31.0    71.5    10.7     6.3    36.0        17.8     76.6       21.1        57.8  15.2  15.5 
"BD -16351"        42   6       3.21      0.01   5243  105      4.65  0.16   10.18  0.26      1.50  0.30    11.00  0.30   42  +17   -9    0.52  0.21   0.88  0.18   0.90  +0.07  -0.05   22.44   +4.46   -2.07   0.142  +0.018  -0.023    49.0    209.3    61.8    38.2    55.2    24.9     8.9    41.1         8.9     93.1       10.5        42.4  30.8  14.9 
"HIP 76768"       120  10       3.70      0.02   4506  153      4.53  0.25    10.1  0.64      0.63  0.34    -7.11  0.13   60  +30  -13    0.27  0.06   0.85  0.11   0.80  +0.07  -0.05   39.73  +11.59   -9.35   0.094  +0.032  -0.021   112.8    400.7    37.4    62.6    78.5     5.3     6.7    83.7        69.3     92.3       84.1        41.0  22.2  21.6 
"TYC 5164-567-1"  120  10       4.68      0.06   5130  161      4.45  0.22    9.61  0.34      1.23  0.62   -15.98  0.10   65  +25  -12    0.50  0.20   0.89  0.19   0.90  +0.08  -0.05   24.82   +7.54   -4.07   0.189  +0.044  -0.046    63.9    145.5    89.4    10.6    74.2    10.4     8.5    67.3        70.6     40.0       88.8        18.7  26.3  31.0 
"LO Peg"          120  10   0.423229  0.000048   4739  138      4.36  0.25   73.11  1.06      1.83  0.55   -21.94  1.41   45   +3   -3    0.20  0.01   0.66  0.04   0.75  +0.05  -0.05   27.87   +0.67   -0.43   0.015  +0.001  -0.001   139.6    793.4    63.2    36.8    35.4     9.4     7.3    42.5        38.9     48.6       80.4        13.4   3.7   3.3 
"PW And"          120  10    1.76159   0.00006   5012  108      4.42  0.18   22.93  0.24      1.74  0.35   -11.09  0.44   46   +7   -7    0.35  0.14   0.78  0.16   0.85  +0.05  -0.05   25.50   +4.49   -2.56   0.070  +0.009  -0.012   125.8    503.6    75.7    24.3    60.4    11.8     4.4    25.6        17.0     52.4       24.8        26.5  10.8  13.0 
"HII 296"         125   8    2.60863   0.00009   5322  101      4.48  0.20   17.46  0.29      1.82  0.38     6.77  0.33   71  +19  -20    0.49  0.05   0.93  0.05   0.90  +0.05  -0.05   20.11   +0.33   -0.05   0.130  +0.007  -0.006    80.4    273.6    89.5    10.5    62.7    14.7    10.8    42.1        42.8     35.9       60.1        25.4   1.9  20.6 
"TYC 0486-4943-1" 120  10       3.75       0.3   4706  161      4.45  0.27   10.94  0.38      1.06  0.51   -19.71  0.17   75  +15   -8    0.21  0.08   0.69  0.15   0.75  +0.05  -0.05   28.80   +4.25   -2.99   0.130  +0.027  -0.033    25.0     71.5    75.7    24.3    39.3    27.9    20.2    24.8        11.5     66.4        6.5        65.5  12.5   5.4 
